State	'integer'	'char'	'boolean'	'string'	'type'	'='	'array'	'['	']'	'of'	'struct'	'{'	'}'	';'	':'	'function'	'('	')'	','	'var'	'if'	'else'	'while'	'do'	'break'	'continue'	'&&'	'||'	'<'	'>'	'<='	'>='	'=='	'!='	'+'	'-'	'*'	'/'	'++'	'--'	'!'	'.'	Id	'true'	'false'	c	s	n	$	P'	P	LDE	DE	T	DT	DC	DF	LP	B	LDV	LS	DV	LI	S	U	M	E	L	R	Y	F	LE	LV	ID	TRUE	FALSE	CHR	STR	NUM
32	 	 	 	 	 	 	 	 	s39	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
33	 	 	 	 	 	 	 	 	r78	 	 	 	 	r78	 	 	 	r78	r78	 	 	 	 	 	 	 	r78	r78	r78	r78	r78	r78	r78	r78	r78	r78	r78	r78	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
34	 	 	 	 	 	 	 	 	 	 	 	 	s40	s41	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
35	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s42	 	 	 	s43	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
36	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r26	 	 	 	r26	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
37	 	 	 	 	 	 	 	 	 	 	 	s45	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	44	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38	s19	s20	s21	s22	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s10	 	 	 	 	 	 	 	 	 	 	46	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	23	 	 	 	 	 
39	 	 	 	 	 	 	 	 	 	s47	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
40	 	 	 	 	r12	 	 	 	 	 	 	 	 	 	 	r12	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r12	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
41	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	48	 	 	 	 	 	 	 	 	 	 	36	 	 	 	 	 
42	s19	s20	s21	s22	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s10	 	 	 	 	 	 	 	 	 	 	49	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	23	 	 	 	 	 
43	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	50	 	 	 	 	 
44	 	 	 	 	r16	 	 	 	 	 	 	 	 	 	 	r16	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r16	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
45	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s53	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	51	 	52	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
46	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r17	r17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
47	s19	s20	s21	s22	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s10	 	 	 	 	 	 	 	 	 	 	54	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	23	 	 	 	 	 
48	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s55	 	 	 	s43	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
49	 	 	 	 	 	 	 	 	 	 	 	 	r15	r15	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
50	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r25	 	 	 	r25	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51	 	 	 	 	 	 	 	 	 	 	 	s45	 	 	 	 	 	 	 	s53	s61	 	s62	s63	s66	s67	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	64	 	56	57	 	58	60	59	 	 	 	 	 	 	65	68	 	 	 	 	 
52	 	 	 	 	 	 	 	 	 	 	 	r21	 	 	 	 	 	 	 	r21	r21	 	r21	r21	r21	r21	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r21	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
53	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	69	 	 	 	 	 	 	 	 	 	 	36	 	 	 	 	 
54	 	 	 	 	r11	 	 	 	 	 	 	 	 	 	 	r11	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r11	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
55	s19	s20	s21	s22	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s10	 	 	 	 	 	 	 	 	 	 	70	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	23	 	 	 	 	 
56	 	 	 	 	 	 	 	 	 	 	 	s45	s71	 	 	 	 	 	 	 	s61	 	s62	s63	s66	s67	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	64	 	 	 	 	72	60	59	 	 	 	 	 	 	65	68	 	 	 	 	 
57	 	 	 	 	 	 	 	 	 	 	 	r20	 	 	 	 	 	 	 	r20	r20	 	r20	r20	r20	r20	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r20	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58	 	 	 	 	 	 	 	 	 	 	 	r23	r23	 	 	 	 	 	 	 	r23	 	r23	r23	r23	r23	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r23	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
59	 	 	 	 	 	 	 	 	 	 	 	r27	r27	 	 	 	 	 	 	 	r27	 	r27	r27	r27	r27	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r27	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
60	 	 	 	 	 	 	 	 	 	 	 	r28	r28	 	 	 	 	 	 	 	r28	 	r28	r28	r28	r28	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r28	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
61	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s73	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
62	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s74	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
63	 	 	 	 	 	 	 	 	 	 	 	s45	 	 	 	 	 	 	 	 	s76	 	s62	s63	s66	s67	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	64	 	 	 	 	 	 	75	 	 	 	 	 	 	65	68	 	 	 	 	 
64	 	 	 	 	 	 	 	 	 	 	 	r34	r34	 	 	 	 	 	 	 	r34	r34	r34	r34	r34	r34	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r34	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
65	 	 	 	 	 	s77	 	s79	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s78	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
66	 	 	 	 	 	 	 	 	 	 	 	 	 	s80	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
67	 	 	 	 	 	 	 	 	 	 	 	 	 	s81	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68	 	 	 	 	 	r72	 	r72	r72	 	 	 	 	r72	 	 	 	r72	r72	 	 	 	 	 	 	 	r72	r72	r72	r72	r72	r72	r72	r72	r72	r72	r72	r72	r72	r72	 	r72	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
69	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s82	 	 	 	s43	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
70	 	 	 	 	 	 	 	 	 	 	 	 	r14	r14	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
71	 	 	 	 	r19	 	 	 	 	 	 	r19	r19	 	 	r19	 	 	 	 	r19	r19	r19	r19	r19	r19	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r19	 	 	 	 	 	r19	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
72	 	 	 	 	 	 	 	 	 	 	 	r22	r22	 	 	 	 	 	 	 	r22	 	r22	r22	r22	r22	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r22	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
73	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s91	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s93	 	 	s89	s90	s94	 	s10	s100	s101	s102	s103	s33	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	83	84	85	86	87	 	88	92	95	96	97	98	99
74	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s91	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s93	 	 	s89	s90	s94	 	s10	s100	s101	s102	s103	s33	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	104	84	85	86	87	 	88	92	95	96	97	98	99
75	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s105	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
76	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s106	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
77	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s91	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s93	 	 	s89	s90	s94	 	s10	s100	s101	s102	s103	s33	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	107	84	85	86	87	 	88	92	95	96	97	98	99
78	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	108	 	 	 	 	 
79	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s91	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s93	 	 	s89	s90	s94	 	s10	s100	s101	s102	s103	s33	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	109	84	85	86	87	 	88	92	95	96	97	98	99
80	 	 	 	 	 	 	 	 	 	 	 	r36	r36	 	 	 	 	 	 	 	r36	r36	r36	r36	r36	r36	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r36	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
